update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
158,41418752,2008.6,21620,57.03,85.0,60.03,35.9,61.3,2.8,0.0,-0.0002,0.002,0.1954,0.0069,0.859,7.7e-05
159,41680896,2020.6,21936,56.73,86.0,59.73,35.8,61.4,2.8,0.0,-0.0004,0.002,0.192,0.0054,0.861,7.6e-05
160,41943040,2032.6,21711,57.03,84.0,60.03,35.8,61.4,2.8,0.0,-0.0004,0.002,0.1921,0.0044,0.862,7.4e-05
161,42205184,2044.5,22102,59.78,85.0,62.78,35.8,61.4,2.9,0.0,-0.0004,0.002,0.1918,0.0045,0.864,7.3e-05
162,42467328,2056.4,22107,59.38,87.0,62.38,35.7,61.4,2.9,0.0,-0.0004,0.002,0.1896,0.0049,0.865,7.2e-05
163,42729472,2068.1,22389,58.17,87.0,61.17,35.7,61.4,2.9,0.0,-0.0003,0.002,0.1889,0.0037,0.862,7e-05
164,42991616,2079.6,22683,57.37,85.0,60.37,35.7,61.4,3.0,0.0,-0.0003,0.002,0.1866,0.0049,0.861,6.9e-05
165,43253760,2091.5,22103,57.02,88.0,60.02,35.6,61.4,3.0,0.0,-0.0004,0.002,0.1862,0.0032,0.861,6.8e-05
166,43515904,2103.3,22168,60.93,94.0,63.93,35.6,61.4,3.0,0.0,-0.0002,0.002,0.1835,0.0033,0.866,6.7e-05
167,43778048,2115.3,21837,58.16,89.0,61.16,35.6,61.4,3.1,0.0,-0.0003,0.002,0.1824,0.003,0.865,6.5e-05
168,44040192,2127.1,22311,61.13,87.0,64.13,35.5,61.4,3.1,0.0,-0.0004,0.002,0.1838,0.0039,0.868,6.4e-05
169,44302336,2138.8,22293,59.93,84.0,62.93,35.5,61.4,3.1,0.0,-0.0003,0.002,0.1815,0.0025,0.864,6.3e-05
170,44564480,2150.6,22191,55.66,88.0,58.66,35.5,61.4,3.1,0.0,-0.0002,0.002,0.1838,0.0023,0.863,6.1e-05
171,44826624,2162.6,21944,58.94,85.0,61.94,35.5,61.3,3.2,0.0,-0.0003,0.002,0.1824,0.0041,0.865,6e-05
172,45088768,2174.1,22745,58.24,87.0,61.24,35.5,61.3,3.2,0.0,-0.0003,0.002,0.184,0.004,0.865,5.9e-05
173,45350912,2185.8,22471,55.61,85.0,58.61,35.4,61.3,3.2,0.0,-0.0003,0.002,0.1841,0.0037,0.867,5.7e-05
174,45613056,2197.5,22310,58.98,91.0,61.98,35.4,61.3,3.3,0.0,-0.0003,0.002,0.1825,0.0029,0.868,5.6e-05
175,45875200,2209.3,22208,59.98,86.0,62.98,35.4,61.3,3.3,0.0,-0.0004,0.002,0.1841,0.0031,0.867,5.5e-05
176,46137344,2256.7,21592,59.61,85.0,62.61,35.3,61.3,3.3,0.0,-0.0003,0.002,0.1833,0.0029,0.861,5e-05
177,46399488,2268.6,22029,60.43,83.0,63.43,35.3,61.3,3.4,0.0,-0.0003,0.002,0.1833,0.0022,0.868,4.8e-05
178,46661632,2280.6,21832,59.96,82.0,62.96,35.3,61.3,3.4,0.0,-0.0003,0.002,0.1824,0.0021,0.866,4.7e-05
179,46923776,2292.2,22455,60.15,86.0,63.15,35.3,61.3,3.4,0.0,-0.0003,0.002,0.1828,0.0023,0.869,4.6e-05
180,47185920,2304.1,22164,57.63,86.0,60.63,35.3,61.3,3.5,0.0,-0.0003,0.002,0.1822,0.003,0.869,4.4e-05
181,47448064,2316.2,21528,57.48,85.0,60.48,35.2,61.3,3.5,0.0,-0.0002,0.002,0.1829,0.0017,0.867,4.3e-05
182,47710208,2328.1,22164,59.73,85.0,62.73,35.2,61.3,3.5,0.0,-0.0002,0.002,0.183,0.0021,0.871,4.2e-05
